Price,Close,High,Low,Open,Volume
Ticker,BAJAJFINSV.NS,BAJAJFINSV.NS,BAJAJFINSV.NS,BAJAJFINSV.NS,BAJAJFINSV.NS
Date,,,,,
2002-08-12,443.4439392089844,449.65450771019823,440.2164147141567,440.2164147141567,50600
2002-08-13,437.52685546875,444.51984597611056,435.47296242214134,444.51984597611056,25600
2002-08-14,425.25244140625,439.14064294390477,406.8652727498093,406.8652727498093,105200
2002-08-15,425.25244140625,425.25244140625,425.25244140625,425.25244140625,0
2002-08-16,418.2593994140625,431.3162580945799,403.44207814969207,403.44207814969207,143100
2002-08-19,420.21551513671875,421.9270877235589,415.7165183675332,420.5578356235782,68300
2002-08-20,428.0398254394531,433.1256528093197,415.6676073318892,422.6117074473955,53900
2002-08-21,425.39910888671875,435.2284127870859,424.5188477694108,435.2284127870859,33600
2002-08-22,418.7484436035156,429.1156890112269,417.91710239605385,420.65563638254815,123100
2002-08-23,410.6306457519531,419.4819075774866,409.3102840275352,417.623635077079,170900
2002-08-26,408.5767822265625,415.6675821574843,405.39814777476994,410.2883546236815,136900
2002-08-27,408.03887939453125,410.7773833445129,407.10972813607975,410.7773833445129,158200
2002-08-28,408.7234802246094,430.33820034793985,403.93108350840714,430.33820034793985,70400
2002-08-29,408.9191589355469,410.72854168807413,393.9062158743812,393.9062158743812,77100
2002-08-30,409.261474609375,410.77742698426243,400.01897056324606,408.8213439986231,54900
2002-09-02,406.66961669921875,414.591758291532,399.5788162960755,410.7774026648496,128100
2002-09-03,406.96307373046875,409.79938810826593,403.539928483741,409.79938810826593,109700
2002-09-04,409.0657958984375,410.7773682662134,404.4200994716172,405.8871615011394,66200
2002-09-05,410.4839782714844,415.66758563572466,409.1146964643681,410.77737874589263,82800
2002-09-06,409.946044921875,410.7773860774751,406.9630306048181,410.7773860774751,43500
2002-09-09,410.6795959472656,411.1197265355992,407.7943915988819,410.7774060610571,52200
2002-09-10,410.6795959472656,410.6795959472656,410.6795959472656,410.6795959472656,0
2002-09-11,410.5329895019531,413.7116249179897,409.79945825209853,410.7774999185713,33700
2002-09-12,410.8752136230469,411.7554449467911,408.0877895583102,410.77740350986284,35100
2002-09-13,411.1686706542969,415.667667852308,408.87026699197446,408.87026699197446,80300
2002-09-16,410.7284851074219,414.4450303729648,408.08776147048866,410.7773752369209,13100
2002-09-17,404.46905517578125,412.733517887633,398.3074055917975,412.733517887633,54100
2002-09-18,392.53692626953125,406.86522697101464,387.01099826694,400.9969785050866,63100
2002-09-19,375.47015380859375,393.1727122448306,367.30350070665315,392.1946706720823,188200
2002-09-20,368.81939697265625,374.10081426335415,366.765504179759,366.765504179759,165500
2002-09-23,363.5380554199219,373.12285065369355,358.2077170430282,366.76558059013126,106400
2002-09-24,372.48712158203125,375.42124616346126,362.7555964479716,363.831448097321,110800
2002-09-25,376.0569152832031,378.89322935095873,370.67768762635626,374.39423297755957,45200
2002-09-26,373.9051208496094,382.4140908196129,371.6556381367082,371.6556381367082,30700
2002-09-27,390.189697265625,393.17271212259595,371.65579752882206,371.65579752882206,123900
2002-09-30,381.0938415527344,396.10678364301646,379.528969277493,386.37525936515004,86100
2002-10-01,370.9222412109375,381.4361874021506,360.065974523077,376.59487000767854,137700
2002-10-02,370.9222412109375,370.9222412109375,370.9222412109375,370.9222412109375,0
2002-10-03,359.870361328125,376.54595601255573,358.1587888007952,376.54595601255573,73400
2002-10-04,358.0610046386719,366.5699479113547,352.87736670029614,358.9901261695187,76300
2002-10-07,359.6746520996094,364.3203478099374,355.1267664789885,356.98503879362994,99300
2002-10-08,376.3014831542969,379.43122802659764,358.94124578980365,358.94124578980365,103800
2002-10-09,383.5878601074219,387.30440559587475,377.6706915579004,380.9471363121041,79900
2002-10-10,396.84039306640625,400.01902837747417,384.37036223067815,384.37036223067815,181900
2002-10-11,391.167724609375,396.8892437220861,371.7535941330517,371.7535941330517,139700
2002-10-14,390.189697265625,397.08487841237303,387.50008294140326,392.1946705501517,46600
2002-10-15,390.189697265625,390.189697265625,390.189697265625,390.189697265625,0
2002-10-16,389.01605224609375,393.17272910855985,386.32643780567446,390.72762507181505,51800
2002-10-17,386.5708312988281,395.8133337015002,382.65866602319164,386.32632096910083,76200
2002-10-18,393.3683166503906,409.79940247160505,385.34836413797706,385.34836413797706,55600
2002-10-21,395.51995849609375,400.9481064806903,394.1507064283649,396.1067893386794,79900
2002-10-22,378.2086181640625,400.99697065498594,372.9271707701551,400.99697065498594,154600
2002-10-23,392.8302917480469,396.20454625425185,373.7584859333028,373.7584859333028,380500
2002-10-24,399.9700622558594,404.81134951688927,386.32637211191184,392.0968106878897,287400
2002-10-25,401.82830810546875,408.72348791544323,392.879235422059,400.8991568527979,97600
2002-10-28,398.1606750488281,405.88719643312413,396.1556721941186,402.9530721215594,83500
2002-10-29,411.3642578125,417.42809715896277,397.0848460491237,399.0409290345874,272900
2002-10-30,412.4889221191406,425.9369901194683,392.1945649550098,412.63562234601744,272300
2002-10-31,414.4450378417969,415.66758957584346,403.9310929289961,410.77738263965705,99000
2002-11-01,432.3431396484375,436.2064146770466,414.20048568549157,415.6675476182619,448800
2002-11-04,438.4559326171875,441.09665624544334,429.1156495070693,431.3162425814645,55500
2002-11-05,426.4749450683594,438.1625518616878,423.9809514108073,438.1625518616878,122300
2002-11-06,426.4749450683594,426.4749450683594,426.4749450683594,426.4749450683594,0
2002-11-07,419.775390625,424.2743572921327,416.64564613290673,423.589746204613,141900
2002-11-08,423.4919128417969,427.8930990029703,417.18353407180007,417.18353407180007,127700
2002-11-11,426.426025390625,430.3381907611812,420.65558743854524,430.3381907611812,50000
2002-11-12,426.27935791015625,429.3601824066812,422.5627826141081,422.5627826141081,41400
2002-11-13,433.3702392578125,439.0428686031257,424.56786485114384,424.56786485114384,306000
2002-11-14,429.7025146484375,436.20648428544445,425.8392390033395,436.20648428544445,133600
2002-11-15,442.857177734375,449.8990884490829,429.3602170198856,433.7614037547136,376500
2002-11-18,441.78131103515625,445.98687710395285,438.5048663851867,444.0796844405133,104300
2002-11-19,441.78131103515625,441.78131103515625,441.78131103515625,441.78131103515625,0
2002-11-20,442.9061279296875,445.98695288472817,438.2604305038049,441.0967450680097,98400
2002-11-21,467.1614685058594,469.9488924639503,393.02594236207875,393.02594236207875,259400
2002-11-22,463.5427551269531,474.3501011629196,458.7014380317717,461.2443517600745,131600
2002-11-25,466.9658203125,473.3719787470593,454.78919445740206,454.78919445740206,62500
2002-11-26,462.613525390625,484.1304335483285,458.26122975610906,469.45981434989426,231600
2002-11-27,455.9139709472656,464.863043361961,452.8820367820398,462.61356018797755,121300
2002-11-28,460.90203857421875,466.4279668603122,456.74536236426553,461.34216917072587,97700
2002-11-29,460.90203857421875,460.90203857421875,460.90203857421875,460.90203857421875,0
2002-12-02,467.5037841796875,489.0206947486271,465.547701400693,474.3500739061683,173800
2002-12-03,468.9219665527344,474.15446422484547,462.22237691632455,474.15446422484547,173700
2002-12-04,469.7532653808594,476.3061546007967,466.52574074862423,474.3500718303622,340900
2002-12-05,462.222412109375,471.415996105425,458.21243604853026,471.415996105425,146300
2002-12-06,459.2393798828125,469.2643053778043,454.0557718097512,466.52580108400934,174800
2002-12-09,463.9339599609375,470.43792952437167,459.8750939813099,467.50380522380385,116800
2002-12-10,467.25921630859375,513.47166627318,455.8650414931648,455.8650414931648,54500
2002-12-11,454.7891845703125,472.29611710363656,453.3221226846018,472.29611710363656,242700
2002-12-12,459.53277587890625,465.98785534292153,449.99687185290475,454.7892689323784,271300
2002-12-13,465.4988098144531,466.5257413312319,455.27826538718756,455.27826538718756,73300
2002-12-16,469.8021545410156,552.5933463993166,451.8550903300606,552.5933463993166,323300
2002-12-17,470.1935119628906,475.1326102379727,449.8991482120222,449.8991482120222,143300
2002-12-18,473.02978515625,474.7413578523527,459.6795240961411,470.1934706579146,99500
2002-12-19,482.8101501464844,485.0596633635101,470.8780625052468,476.3061805499445,222400
2002-12-20,478.702392578125,484.8151515504299,475.3770278192264,481.196386299843,71700
