Prob Thresh,Max Pos,Stop Loss,Hold Days,Target/Trail,CAGR,Sharpe,Max DD
0.60,2,-8%,60,30%,28.40%,0.76,-37.39%
0.60,2,-10%,60,35%,28.26%,0.77,-32.04%
0.60,3,-15%,50,35%,27.66%,0.77,-48.22%
0.65,2,-15%,60,35%,27.25%,0.72,-38.41%
0.60,2,-10%,45,30%,26.95%,0.73,-35.89%
0.60,3,-15%,50,20%,26.30%,0.75,-36.73%
0.60,4,-12%,45,30%,25.64%,0.74,-38.98%
0.60,4,-15%,40,35%,25.40%,0.73,-42.55%
0.60,3,-10%,50,25%,24.47%,0.71,-42.72%
0.65,2,-15%,45,35%,24.33%,0.68,-33.13%
0.65,3,-12%,45,35%,24.26%,0.71,-35.07%
0.65,3,-12%,45,30%,24.02%,0.71,-33.23%
0.75,2,-15%,60,35%,23.71%,0.93,-25.76%
0.60,3,-10%,50,30%,23.35%,0.66,-44.49%
0.65,5,-15%,45,35%,22.98%,0.70,-36.73%
0.65,2,-8%,50,30%,22.72%,0.63,-40.98%
0.65,3,-15%,45,35%,22.70%,0.67,-41.00%
0.65,2,-12%,40,35%,22.58%,0.62,-45.98%
0.65,3,-15%,40,30%,22.44%,0.66,-37.98%
0.60,4,-10%,45,30%,22.39%,0.64,-40.76%
0.75,2,-10%,60,30%,22.16%,0.86,-21.15%
0.65,2,-8%,45,25%,22.09%,0.63,-37.09%
0.60,4,-15%,45,35%,22.05%,0.64,-53.66%
0.65,2,-12%,60,35%,21.78%,0.61,-36.71%
0.60,2,-6%,45,30%,21.78%,0.63,-33.87%
0.60,5,-15%,45,35%,21.72%,0.63,-39.26%
0.65,2,-6%,50,30%,21.43%,0.61,-58.63%
0.60,10,-15%,30,35%,21.27%,0.67,-43.77%
0.60,5,-12%,45,35%,21.21%,0.62,-39.95%
0.65,2,-15%,45,20%,21.17%,0.60,-37.05%
0.60,2,-10%,60,30%,21.13%,0.58,-56.87%
0.60,3,-15%,40,35%,20.91%,0.59,-41.28%
0.65,4,-10%,45,30%,20.86%,0.63,-38.11%
0.60,6,-15%,45,30%,20.85%,0.62,-45.56%
0.65,10,-15%,50,35%,20.82%,0.74,-30.38%
0.60,2,-15%,50,20%,20.80%,0.57,-38.12%
0.75,2,-15%,60,30%,20.77%,0.76,-25.76%
0.75,2,-12%,60,35%,20.64%,0.81,-24.40%
0.60,5,-12%,45,30%,20.52%,0.60,-35.70%
0.60,4,-12%,45,25%,20.37%,0.59,-39.76%
0.75,3,-15%,60,35%,20.18%,0.91,-18.69%
0.60,10,-12%,40,35%,20.10%,0.63,-41.33%
0.60,10,-12%,45,35%,20.01%,0.63,-40.08%
0.60,10,-10%,45,30%,19.97%,0.63,-39.97%
0.65,4,-15%,45,35%,19.92%,0.58,-36.60%
0.60,2,-6%,40,35%,19.91%,0.56,-44.19%
0.65,4,-12%,20,30%,19.81%,0.60,-31.64%
0.65,5,-15%,45,30%,19.79%,0.60,-36.22%
0.65,10,-15%,50,30%,19.79%,0.70,-30.38%
0.75,2,-10%,60,35%,19.78%,0.76,-21.15%
0.65,8,-15%,30,35%,19.76%,0.67,-31.00%
0.75,2,-8%,50,15%,19.75%,0.89,-15.76%
0.70,2,-6%,15,35%,19.74%,0.63,-36.30%
0.60,3,-8%,50,30%,19.74%,0.58,-33.17%
0.75,3,-15%,60,30%,19.62%,0.84,-18.69%
0.70,8,-12%,50,35%,19.55%,0.90,-15.51%
0.65,4,-10%,20,35%,19.48%,0.59,-32.34%
0.70,8,-12%,45,35%,19.40%,0.90,-14.82%
0.60,8,-12%,45,35%,19.36%,0.59,-42.60%
0.60,10,-15%,50,35%,19.36%,0.60,-47.15%
0.65,8,-15%,45,35%,19.35%,0.64,-30.68%
0.60,4,-15%,30,35%,19.33%,0.54,-40.68%
0.75,3,-12%,60,35%,19.29%,0.88,-18.38%
0.65,6,-10%,20,30%,19.24%,0.63,-28.24%
0.65,6,-15%,30,35%,19.17%,0.60,-34.97%
0.70,6,-12%,45,35%,19.16%,0.79,-17.53%
0.60,2,-10%,50,35%,19.13%,0.52,-60.00%
0.65,8,-15%,50,35%,19.11%,0.63,-33.74%
0.60,10,-15%,40,35%,19.10%,0.60,-46.19%
0.75,2,-15%,50,35%,19.06%,0.74,-25.76%
0.65,4,-12%,20,35%,19.05%,0.57,-31.54%
0.60,2,-10%,50,15%,19.02%,0.55,-53.64%
0.60,4,-15%,40,30%,18.98%,0.55,-37.25%
0.60,10,-10%,30,35%,18.92%,0.59,-40.58%
0.65,6,-10%,20,35%,18.88%,0.61,-28.38%
0.65,2,-12%,60,30%,18.84%,0.54,-43.08%
0.65,10,-15%,45,30%,18.80%,0.67,-30.46%
0.65,10,-15%,60,35%,18.79%,0.64,-32.80%
0.75,2,-15%,40,35%,18.76%,0.74,-26.48%
0.65,8,-15%,40,35%,18.75%,0.62,-31.64%
0.60,10,-10%,50,35%,18.75%,0.58,-39.11%
0.60,2,-6%,45,35%,18.70%,0.54,-34.53%
0.65,8,-15%,60,35%,18.69%,0.60,-31.66%
0.60,3,-10%,45,30%,18.68%,0.53,-52.34%
0.65,10,-10%,40,35%,18.64%,0.67,-27.96%
0.60,4,-15%,15,30%,18.61%,0.52,-39.71%
0.65,2,-15%,40,35%,18.60%,0.51,-48.99%
0.65,2,-6%,50,35%,18.59%,0.53,-46.57%
0.75,3,-15%,50,35%,18.58%,0.84,-18.69%
0.70,5,-12%,50,35%,18.54%,0.70,-23.33%
0.60,2,-15%,45,35%,18.54%,0.50,-43.30%
0.65,10,-15%,30,35%,18.54%,0.67,-29.37%
0.60,10,-12%,40,30%,18.54%,0.58,-42.17%
0.65,8,-10%,45,35%,18.53%,0.61,-30.63%
0.60,5,-6%,15,30%,18.47%,0.56,-33.79%
0.65,4,-15%,30,35%,18.46%,0.55,-36.24%
0.60,4,-10%,60,30%,18.46%,0.53,-42.87%
0.65,3,-6%,45,30%,18.45%,0.57,-27.96%
0.60,4,-6%,15,30%,18.43%,0.54,-34.51%
0.75,2,-8%,60,30%,18.42%,0.73,-26.78%
0.75,2,-10%,50,30%,18.41%,0.71,-21.15%
0.60,5,-15%,40,35%,18.40%,0.53,-39.83%
0.65,3,-6%,50,30%,18.39%,0.56,-34.04%
0.75,2,-12%,40,35%,18.38%,0.74,-30.32%
0.65,10,-15%,40,35%,18.36%,0.65,-30.99%
0.75,2,-8%,60,35%,18.36%,0.71,-26.78%
0.65,2,-10%,60,12%,18.33%,0.54,-52.08%
0.60,5,-15%,45,30%,18.30%,0.53,-45.96%
0.65,2,-15%,40,30%,18.29%,0.51,-45.44%
0.60,5,-15%,50,35%,18.29%,0.53,-44.94%
0.65,2,-12%,60,25%,18.25%,0.53,-48.31%
0.75,2,-8%,60,15%,18.25%,0.82,-18.49%
0.60,10,-10%,45,35%,18.23%,0.57,-40.36%
0.75,3,-12%,60,30%,18.20%,0.82,-18.38%
0.65,2,-10%,45,30%,18.19%,0.52,-39.24%
0.65,4,-12%,45,30%,18.11%,0.54,-32.52%
0.70,10,-12%,50,35%,18.11%,0.94,-13.05%
0.75,2,-12%,60,30%,18.09%,0.69,-24.40%
0.65,2,-10%,60,35%,18.09%,0.52,-33.12%
0.65,8,-15%,45,30%,18.08%,0.59,-32.49%
0.75,2,-10%,50,15%,18.07%,0.77,-16.67%
0.70,2,-12%,50,25%,18.07%,0.56,-33.56%
0.65,4,-12%,45,35%,18.04%,0.54,-33.01%
0.60,5,-15%,40,30%,18.04%,0.52,-45.14%
0.65,10,-12%,50,30%,18.01%,0.63,-30.08%
0.60,8,-8%,45,30%,17.98%,0.55,-43.52%
0.65,10,-15%,30,30%,17.92%,0.65,-29.37%
0.70,10,-12%,45,35%,17.91%,0.94,-13.76%
0.75,2,-10%,50,20%,17.88%,0.72,-21.15%
0.65,8,-12%,40,35%,17.84%,0.59,-33.45%
0.75,3,-15%,45,35%,17.82%,0.82,-20.25%
0.65,4,-10%,45,35%,17.82%,0.54,-33.19%
0.75,2,-15%,60,15%,17.81%,0.71,-19.39%
0.65,2,-6%,45,30%,17.78%,0.52,-51.14%
0.60,3,-15%,45,35%,17.78%,0.51,-42.23%
0.70,6,-12%,45,30%,17.77%,0.72,-14.80%
0.65,10,-15%,45,35%,17.77%,0.62,-30.46%
0.60,6,-15%,20,35%,17.75%,0.52,-44.84%
0.65,8,-12%,45,30%,17.71%,0.59,-34.17%
0.75,2,-15%,50,30%,17.71%,0.64,-25.76%
0.65,10,-12%,50,35%,17.70%,0.62,-30.69%
0.60,4,-12%,30,35%,17.70%,0.50,-39.64%
0.60,3,-8%,60,30%,17.70%,0.52,-37.91%
0.75,4,-12%,60,35%,17.67%,0.89,-14.79%
0.70,8,-12%,50,30%,17.67%,0.81,-16.83%
0.60,8,-15%,45,35%,17.65%,0.53,-45.20%
0.65,5,-12%,60,35%,17.65%,0.54,-30.89%
0.65,6,-10%,15,30%,17.64%,0.57,-34.63%
0.60,5,-15%,20,35%,17.61%,0.51,-43.64%
0.65,3,-12%,45,25%,17.61%,0.51,-32.39%
0.65,2,-10%,40,35%,17.61%,0.50,-43.09%
0.75,2,-15%,45,30%,17.59%,0.65,-25.76%
0.60,5,-12%,50,30%,17.58%,0.52,-41.18%
0.75,2,-15%,45,35%,17.57%,0.67,-25.76%
0.75,3,-15%,40,35%,17.56%,0.85,-16.84%
0.60,10,-15%,45,35%,17.55%,0.54,-47.92%
0.60,2,-8%,45,20%,17.54%,0.49,-49.19%
0.60,3,-15%,40,30%,17.53%,0.49,-43.97%
0.60,3,-12%,40,35%,17.53%,0.50,-51.00%
0.75,2,-12%,50,35%,17.52%,0.67,-24.48%
0.65,10,-10%,50,35%,17.52%,0.61,-28.99%
0.60,10,-15%,15,35%,17.51%,0.55,-41.83%
0.75,2,-10%,50,35%,17.49%,0.67,-21.15%
0.70,8,-12%,45,30%,17.49%,0.81,-14.58%
0.65,8,-10%,40,35%,17.46%,0.58,-30.47%
0.70,6,-12%,50,35%,17.45%,0.70,-20.99%
0.75,3,-12%,40,35%,17.45%,0.85,-14.93%
0.65,8,-10%,20,35%,17.44%,0.61,-27.60%
0.75,3,-12%,50,35%,17.44%,0.82,-15.99%
0.60,3,-5%,20,35%,17.43%,0.51,-42.63%
0.60,3,-12%,60,30%,17.43%,0.50,-41.51%
0.65,8,-15%,40,30%,17.42%,0.57,-31.64%
0.60,10,-15%,40,30%,17.42%,0.54,-45.81%
0.75,3,-15%,50,30%,17.38%,0.77,-18.69%
0.75,2,-15%,60,25%,17.34%,0.64,-25.76%
0.60,5,-6%,45,35%,17.33%,0.52,-40.72%
0.75,2,-10%,60,25%,17.32%,0.67,-21.15%
0.65,6,-15%,30,30%,17.32%,0.54,-34.97%
0.75,2,-12%,40,30%,17.31%,0.68,-30.32%
0.70,2,-8%,15,35%,17.28%,0.53,-32.84%
0.60,10,-12%,15,35%,17.28%,0.54,-42.34%
0.75,3,-15%,60,25%,17.27%,0.76,-18.69%
0.60,10,-12%,30,35%,17.21%,0.53,-43.52%
0.65,10,-10%,45,35%,17.19%,0.60,-28.08%
0.65,4,-10%,15,30%,17.19%,0.52,-36.08%
0.65,2,-12%,45,25%,17.17%,0.49,-53.98%
0.75,3,-10%,60,35%,17.16%,0.77,-15.40%
0.65,10,-15%,40,30%,17.15%,0.60,-30.99%
0.60,10,-10%,40,35%,17.14%,0.53,-41.92%
0.65,8,-15%,45,25%,17.14%,0.56,-32.49%
0.60,10,-15%,15,30%,17.11%,0.54,-41.92%
0.70,2,-15%,50,25%,17.10%,0.51,-29.04%
0.65,5,-12%,45,30%,17.09%,0.52,-31.18%
0.70,8,-15%,50,35%,17.07%,0.74,-18.04%
0.65,2,-15%,30,15%,17.06%,0.48,-42.81%
0.65,8,-10%,60,35%,17.06%,0.55,-27.09%
0.65,6,-15%,20,35%,17.04%,0.53,-35.64%
0.60,2,-10%,45,25%,17.03%,0.47,-48.93%
0.60,8,-10%,45,30%,17.01%,0.51,-41.31%
0.65,6,-6%,30,35%,17.00%,0.55,-28.53%
0.65,6,-10%,15,35%,16.99%,0.54,-34.30%
0.75,3,-12%,50,30%,16.99%,0.79,-15.99%
0.65,2,-10%,60,25%,16.98%,0.49,-39.60%
0.70,10,-15%,50,35%,16.95%,0.84,-14.71%
0.65,2,-6%,45,35%,16.95%,0.49,-51.89%
0.60,3,-8%,30,30%,16.95%,0.49,-33.47%
0.65,3,-15%,45,30%,16.94%,0.49,-37.38%
0.70,8,-15%,60,30%,16.93%,0.73,-16.19%
0.75,2,-15%,50,15%,16.92%,0.66,-20.33%
0.60,3,-15%,60,25%,16.91%,0.48,-39.94%
0.70,6,-12%,60,35%,16.89%,0.65,-23.72%
0.60,8,-8%,45,35%,16.88%,0.51,-40.52%
0.65,8,-12%,45,35%,16.87%,0.55,-35.33%
0.60,10,-10%,60,35%,16.84%,0.52,-37.09%
0.65,3,-10%,45,35%,16.84%,0.50,-37.58%
0.65,8,-12%,50,30%,16.84%,0.55,-33.28%
0.65,2,-12%,40,30%,16.83%,0.48,-49.79%
0.65,5,-15%,40,35%,16.83%,0.50,-39.68%
0.75,4,-15%,60,35%,16.82%,0.81,-15.47%
0.75,2,-12%,50,15%,16.80%,0.69,-21.28%
0.65,2,-5%,50,30%,16.80%,0.49,-49.70%
0.65,4,-10%,50,35%,16.79%,0.51,-34.34%
0.60,2,-10%,45,35%,16.79%,0.47,-39.14%
0.70,2,-15%,60,35%,16.77%,0.49,-26.14%
0.60,2,-6%,40,30%,16.76%,0.47,-55.22%
0.60,10,-12%,30,30%,16.76%,0.52,-43.56%
0.60,6,-10%,40,30%,16.75%,0.49,-39.30%
0.75,3,-8%,60,35%,16.75%,0.79,-18.61%
0.75,2,-15%,40,30%,16.74%,0.64,-26.48%
0.65,8,-10%,45,30%,16.74%,0.55,-31.40%
0.60,8,-15%,40,35%,16.74%,0.51,-45.95%
0.65,4,-12%,60,35%,16.71%,0.50,-33.65%
0.65,8,-15%,30,30%,16.70%,0.56,-31.00%
0.65,10,-10%,60,30%,16.70%,0.58,-28.29%
0.65,2,-6%,60,30%,16.67%,0.48,-47.24%
0.75,2,-8%,30,15%,16.67%,0.72,-24.49%
0.65,10,-10%,60,35%,16.67%,0.57,-27.18%
0.65,2,-8%,50,35%,16.67%,0.47,-44.82%
0.75,4,-10%,60,35%,16.66%,0.83,-13.97%
0.70,10,-12%,50,30%,16.66%,0.86,-14.92%
0.65,3,-6%,45,25%,16.65%,0.51,-31.88%
0.75,3,-15%,40,30%,16.64%,0.77,-16.84%
0.65,10,-15%,50,25%,16.63%,0.58,-31.18%
0.65,4,-15%,50,35%,16.62%,0.49,-33.91%
0.60,10,-15%,45,30%,16.62%,0.51,-46.08%
0.75,2,-15%,50,25%,16.62%,0.61,-25.76%
0.65,8,-10%,50,30%,16.61%,0.55,-29.56%
0.60,8,-12%,30,35%,16.61%,0.50,-45.52%
0.70,10,-12%,45,30%,16.61%,0.87,-13.89%
0.75,2,-10%,60,15%,16.60%,0.70,-20.20%
0.60,8,-12%,60,35%,16.59%,0.50,-42.62%
0.70,8,-12%,60,35%,16.59%,0.69,-15.99%
0.60,3,-15%,45,25%,16.59%,0.47,-47.12%
0.75,3,-15%,50,20%,16.58%,0.76,-18.69%
0.65,10,-12%,60,35%,16.58%,0.56,-29.90%
0.60,5,-15%,50,30%,16.58%,0.48,-43.62%
0.65,6,-15%,45,30%,16.57%,0.51,-34.55%
0.60,3,-5%,45,35%,16.57%,0.49,-40.16%
0.60,6,-15%,45,35%,16.56%,0.48,-47.83%
0.65,10,-15%,60,30%,16.56%,0.56,-33.70%
0.75,3,-15%,45,30%,16.56%,0.73,-20.25%
0.70,5,-12%,45,35%,16.56%,0.61,-20.97%
0.60,10,-12%,50,35%,16.56%,0.51,-46.37%
0.75,2,-8%,50,12%,16.55%,0.76,-17.46%
0.65,6,-12%,20,30%,16.55%,0.53,-30.55%
0.60,10,-12%,60,30%,16.53%,0.50,-43.45%
0.75,2,-12%,50,30%,16.52%,0.62,-24.48%
0.70,2,-12%,50,35%,16.52%,0.50,-27.54%
0.60,10,-15%,50,30%,16.51%,0.51,-45.18%
0.75,4,-15%,60,25%,16.50%,0.83,-13.93%
0.60,10,-12%,15,30%,16.50%,0.52,-43.32%
0.65,8,-12%,30,30%,16.48%,0.55,-32.58%
0.70,4,-12%,60,35%,16.47%,0.57,-26.18%
0.60,8,-10%,40,30%,16.47%,0.50,-38.35%
0.65,4,-6%,30,35%,16.44%,0.50,-29.35%
0.65,2,-15%,45,30%,16.43%,0.46,-34.92%
0.70,6,-12%,50,30%,16.43%,0.65,-16.81%
0.75,2,-12%,45,35%,16.42%,0.63,-26.45%
0.70,8,-15%,60,35%,16.41%,0.69,-17.02%
0.65,6,-6%,20,30%,16.41%,0.54,-27.98%
0.75,2,-10%,45,30%,16.40%,0.63,-21.15%
0.70,3,-12%,45,35%,16.40%,0.54,-19.94%
0.65,10,-10%,45,30%,16.39%,0.57,-28.08%
0.70,5,-12%,50,30%,16.37%,0.61,-19.03%
0.75,3,-12%,30,35%,16.36%,0.76,-17.98%
0.65,10,-12%,45,35%,16.36%,0.57,-30.27%
0.70,10,-15%,60,35%,16.35%,0.78,-14.79%
0.65,10,-12%,40,30%,16.35%,0.57,-30.73%
0.65,3,-12%,60,30%,16.35%,0.48,-36.43%
0.65,4,-12%,50,35%,16.34%,0.49,-36.01%
0.70,2,-8%,50,30%,16.34%,0.50,-28.18%
0.60,10,-6%,30,35%,16.33%,0.52,-41.18%
0.65,8,-12%,30,35%,16.33%,0.54,-32.59%
0.60,8,-12%,45,30%,16.33%,0.49,-44.53%
0.65,4,-15%,60,30%,16.31%,0.47,-35.01%
0.70,10,-15%,60,30%,16.31%,0.79,-14.32%
0.65,10,-12%,45,30%,16.31%,0.57,-30.17%
0.60,10,-10%,45,25%,16.30%,0.51,-41.44%
0.65,6,-10%,40,30%,16.29%,0.51,-33.69%
0.65,5,-15%,20,30%,16.29%,0.50,-41.91%
0.75,4,-15%,60,30%,16.28%,0.77,-15.47%
0.65,2,-15%,50,30%,16.28%,0.46,-42.25%
0.65,4,-15%,45,30%,16.27%,0.47,-37.10%
0.75,2,-8%,30,35%,16.26%,0.61,-34.06%
0.65,8,-15%,50,30%,16.25%,0.52,-33.38%
0.65,6,-10%,30,35%,16.25%,0.51,-31.48%
0.60,8,-5%,45,35%,16.25%,0.50,-41.24%
0.65,3,-5%,50,30%,16.25%,0.49,-28.01%
0.65,8,-12%,20,35%,16.24%,0.55,-30.77%
0.75,2,-12%,30,35%,16.24%,0.61,-28.10%
0.65,2,-10%,45,35%,16.23%,0.46,-41.08%
0.70,10,-15%,50,30%,16.23%,0.82,-15.07%
0.75,3,-8%,60,30%,16.22%,0.75,-18.61%
0.65,2,-5%,45,25%,16.22%,0.48,-47.50%
0.75,2,-10%,40,35%,16.22%,0.62,-24.98%
0.75,3,-15%,50,15%,16.21%,0.74,-16.96%
0.65,2,-10%,60,20%,16.21%,0.47,-49.62%
0.70,5,-12%,60,35%,16.20%,0.59,-25.67%
0.75,3,-15%,50,25%,16.20%,0.73,-18.69%
0.65,4,-12%,50,30%,16.17%,0.48,-33.39%
0.65,8,-15%,60,30%,16.16%,0.52,-33.02%
0.70,4,-12%,50,20%,16.15%,0.58,-20.53%
0.65,4,-8%,50,35%,16.14%,0.48,-32.17%
0.65,10,-15%,30,25%,16.14%,0.57,-30.04%
0.65,8,-10%,45,25%,16.14%,0.53,-30.84%
0.75,3,-15%,30,35%,16.12%,0.74,-18.85%
0.65,5,-15%,30,30%,16.11%,0.49,-34.63%
0.70,8,-12%,40,35%,16.11%,0.72,-13.35%
0.65,8,-12%,50,35%,16.10%,0.52,-31.08%
0.65,10,-12%,40,35%,16.10%,0.56,-30.73%
0.75,2,-15%,30,35%,16.09%,0.60,-24.33%
0.70,8,-15%,45,30%,16.09%,0.71,-16.10%
0.65,8,-15%,20,35%,16.07%,0.55,-30.82%
0.65,10,-15%,45,25%,16.07%,0.56,-30.46%
0.60,4,-15%,50,30%,16.07%,0.46,-44.83%
0.75,2,-8%,50,20%,16.07%,0.65,-22.02%
0.60,4,-15%,45,30%,16.06%,0.46,-40.41%
0.65,2,-5%,45,30%,16.06%,0.47,-53.50%
0.65,6,-10%,50,35%,16.05%,0.50,-30.53%
0.65,6,-12%,20,35%,16.02%,0.51,-33.18%
0.65,2,-15%,50,35%,16.01%,0.45,-49.29%
0.60,10,-10%,60,30%,16.01%,0.49,-39.40%
0.65,6,-15%,45,25%,16.01%,0.49,-35.71%
0.60,4,-15%,15,35%,16.01%,0.45,-43.85%
0.60,2,-15%,20,35%,16.00%,0.43,-57.29%
0.65,8,-10%,60,30%,15.99%,0.52,-27.10%
0.60,4,-15%,50,35%,15.98%,0.46,-51.10%
0.70,2,-6%,15,30%,15.98%,0.50,-36.30%
0.70,10,-12%,60,35%,15.97%,0.76,-13.69%
0.60,10,-6%,45,35%,15.95%,0.50,-41.54%
0.65,3,-10%,45,20%,15.94%,0.48,-42.72%
0.60,6,-12%,40,35%,15.93%,0.47,-41.98%
0.65,3,-6%,60,30%,15.93%,0.47,-37.27%
0.60,2,-8%,50,30%,15.93%,0.44,-64.23%
0.75,4,-12%,40,35%,15.92%,0.84,-13.38%
0.75,3,-12%,60,25%,15.91%,0.71,-19.70%
0.75,2,-15%,40,25%,15.90%,0.61,-26.48%
0.75,3,-12%,45,35%,15.90%,0.73,-20.52%
0.60,8,-10%,30,35%,15.90%,0.47,-43.06%
0.65,4,-15%,20,30%,15.90%,0.47,-41.18%
0.60,5,-12%,40,35%,15.89%,0.46,-48.93%
0.75,2,-8%,40,35%,15.88%,0.63,-31.01%
0.60,10,-10%,40,30%,15.86%,0.48,-41.80%
0.60,5,-15%,30,25%,15.86%,0.46,-47.60%
0.65,3,-12%,40,30%,15.85%,0.46,-37.62%
0.60,2,-5%,50,30%,15.85%,0.45,-45.44%
0.65,5,-12%,45,35%,15.83%,0.48,-33.71%
0.75,2,-10%,40,30%,15.82%,0.60,-24.98%
0.60,8,-15%,15,35%,15.81%,0.47,-46.27%
0.65,8,-6%,30,35%,15.80%,0.53,-30.27%
0.75,2,-8%,50,35%,15.79%,0.60,-30.53%
0.65,8,-6%,20,35%,15.78%,0.55,-26.29%
0.65,10,-6%,30,35%,15.77%,0.57,-25.17%
0.60,10,-15%,30,30%,15.76%,0.48,-44.81%
0.60,10,-10%,50,25%,15.76%,0.49,-39.91%
0.70,6,-15%,60,35%,15.75%,0.59,-20.13%
0.60,3,-5%,30,35%,15.74%,0.46,-37.80%
0.60,10,-15%,60,35%,15.72%,0.47,-46.36%
0.75,3,-12%,50,25%,15.72%,0.73,-15.99%
0.60,3,-6%,15,35%,15.70%,0.45,-37.21%
0.75,3,-10%,40,30%,15.68%,0.76,-14.61%
0.70,8,-12%,50,25%,15.67%,0.71,-16.11%
0.75,3,-15%,60,20%,15.67%,0.68,-18.69%
0.65,8,-15%,20,30%,15.64%,0.53,-30.40%
0.65,10,-10%,30,35%,15.64%,0.56,-27.46%
0.75,3,-12%,45,30%,15.63%,0.72,-20.52%
0.70,6,-8%,40,30%,15.63%,0.63,-15.16%
0.70,3,-12%,40,35%,15.63%,0.50,-22.92%
0.60,10,-15%,20,35%,15.62%,0.49,-46.82%
0.75,3,-10%,60,30%,15.62%,0.68,-15.40%
0.75,3,-12%,50,20%,15.61%,0.73,-15.99%
0.70,8,-15%,50,30%,15.61%,0.68,-18.32%
0.75,3,-12%,40,30%,15.60%,0.74,-14.93%
0.75,3,-8%,40,35%,15.57%,0.76,-18.85%
0.70,10,-12%,40,35%,15.57%,0.79,-11.76%
0.60,5,-10%,60,30%,15.57%,0.45,-37.93%
0.65,10,-15%,15,35%,15.56%,0.59,-28.76%
0.70,6,-12%,40,35%,15.56%,0.61,-17.81%
0.60,10,-10%,20,35%,15.55%,0.48,-41.27%
0.65,8,-12%,45,25%,15.54%,0.51,-35.25%
0.60,10,-10%,15,35%,15.53%,0.49,-38.97%
0.65,8,-10%,30,35%,15.53%,0.51,-28.99%
0.65,10,-12%,30,35%,15.52%,0.54,-29.17%
0.60,10,-8%,50,30%,15.52%,0.48,-43.59%
0.75,4,-15%,40,35%,15.50%,0.80,-14.79%
0.75,4,-12%,60,30%,15.50%,0.75,-14.79%
0.75,2,-12%,45,30%,15.50%,0.59,-26.45%
0.65,8,-10%,20,30%,15.49%,0.52,-27.60%
0.75,2,-12%,50,20%,15.49%,0.59,-21.99%
0.65,3,-10%,50,30%,15.47%,0.46,-35.88%
0.70,6,-12%,50,25%,15.45%,0.61,-14.34%
0.65,5,-15%,30,35%,15.44%,0.46,-34.63%
0.70,2,-15%,45,35%,15.44%,0.46,-29.56%
0.65,3,-12%,60,25%,15.43%,0.45,-36.43%
0.75,3,-15%,60,15%,15.42%,0.69,-18.55%
0.75,2,-8%,45,15%,15.41%,0.64,-21.68%
0.60,3,-6%,60,30%,15.41%,0.46,-36.08%
0.70,8,-15%,45,35%,15.41%,0.65,-16.06%
0.75,2,-12%,60,15%,15.40%,0.62,-25.41%
0.75,2,-15%,45,25%,15.39%,0.56,-25.76%
0.75,2,-12%,50,25%,15.38%,0.58,-24.48%
0.70,10,-15%,45,35%,15.38%,0.74,-15.81%
0.65,4,-15%,40,35%,15.38%,0.45,-36.91%
0.65,2,-5%,60,30%,15.38%,0.44,-40.71%
0.60,10,-12%,45,30%,15.38%,0.47,-44.36%
0.70,6,-15%,45,35%,15.37%,0.58,-17.63%
0.70,5,-12%,60,30%,15.36%,0.55,-19.71%
0.70,2,-10%,40,35%,15.36%,0.46,-36.16%
0.75,2,-10%,50,12%,15.35%,0.65,-18.62%
0.70,8,-12%,60,30%,15.35%,0.65,-16.58%
0.75,3,-10%,50,35%,15.35%,0.71,-14.12%
0.65,6,-6%,20,35%,15.35%,0.49,-28.16%
0.75,2,-10%,50,25%,15.34%,0.58,-21.15%
0.65,5,-12%,40,35%,15.32%,0.46,-40.26%
0.65,4,-12%,20,25%,15.31%,0.46,-34.36%
0.65,10,-15%,40,25%,15.31%,0.52,-31.49%
0.75,2,-10%,30,15%,15.31%,0.62,-24.57%
0.60,6,-15%,40,35%,15.30%,0.44,-43.05%
0.60,4,-6%,30,35%,15.30%,0.45,-34.36%
0.70,8,-15%,60,25%,15.29%,0.65,-17.01%
0.60,3,-10%,30,30%,15.28%,0.43,-38.07%
0.65,8,-6%,20,30%,15.25%,0.53,-27.15%
0.65,4,-10%,60,35%,15.25%,0.45,-37.65%
0.75,2,-10%,30,35%,15.25%,0.55,-28.18%
0.75,2,-15%,60,20%,15.25%,0.56,-25.76%
0.70,8,-12%,40,30%,15.25%,0.68,-13.35%
0.60,10,-12%,20,35%,15.25%,0.47,-42.31%
0.65,10,-10%,40,30%,15.25%,0.53,-27.96%
0.70,6,-15%,50,35%,15.24%,0.57,-19.57%
0.75,2,-12%,40,25%,15.24%,0.59,-30.32%
0.60,5,-10%,50,35%,15.23%,0.44,-47.57%
0.65,3,-15%,40,25%,15.23%,0.43,-37.70%
0.60,3,-6%,60,35%,15.22%,0.44,-49.47%
0.60,4,-15%,40,25%,15.22%,0.44,-42.02%
0.65,6,-12%,45,30%,15.21%,0.47,-32.06%
0.60,10,-8%,45,30%,15.21%,0.47,-44.34%
0.70,5,-8%,40,30%,15.20%,0.58,-18.25%
0.65,3,-12%,40,35%,15.20%,0.44,-36.51%
0.60,10,-15%,30,25%,15.19%,0.46,-44.74%
0.75,3,-10%,40,35%,15.19%,0.71,-17.97%
0.75,2,-10%,60,20%,15.18%,0.58,-23.28%
0.60,10,-10%,30,30%,15.18%,0.47,-40.14%
0.75,5,-15%,60,35%,15.18%,0.81,-12.09%
0.70,6,-12%,45,25%,15.17%,0.60,-17.11%
0.65,6,-8%,20,25%,15.17%,0.48,-28.53%
